sku,category,name,rrp,npp,ean,tariff,weight,size,tax_class
HO-31043,HOBBY,"Fotorückwand-Zuschnitt Planted River / Green Rocks  60 x 30 cm, SB",5.79,2.86,4 011444310439,49119100000,0.02,34 x 4 x 4,1
HO-31031,HOBBY,"Fotorückwand-Zuschnitt Scaper's Hill / Scaper's Forest  100 x 50 cm, SB",8.59,4.27,4 011444310316,49119100000,0.04,53 x 4 x 4,1
HO-31032,HOBBY,"Fotorückwand-Zuschnitt Scaper's Hill / Scaper's Forest  120 x 50 cm, SB",10.29,5.1,4 011444310323,49119100000,0.05,54 x 4 x 4,1
HO-31030,HOBBY,"Fotorückwand-Zuschnitt Scaper's Hill / Scaper's Forest  60 x 30 cm, SB",5.79,2.86,4 011444310309,49119100000,0.02,34 x 4 x 4,1
HO-31011,HOBBY,"Fotorückwand-Zuschnitt Spring / Moss  100 x 50 cm, SB",8.59,4.27,4 011444310118,49119100000,0.04,53 x 4 x 4,1
HO-31012,HOBBY,"Fotorückwand-Zuschnitt Spring / Moss  120 x 50 cm, SB",10.29,5.1,4 011444310125,49119100000,0.05,54 x 4 x 4,1
HO-31010,HOBBY,"Fotorückwand-Zuschnitt Spring / Moss  60x30 cm, SB",5.79,2.86,4 011444310101,49119100000,0.02,33 x 4 x 4,1
HO-31202,HOBBY,"Fotorückwandzuschnitt Frosty, selbstklebend  100 x 50 cm, SB",13.49,6.72,4 011444312020,49119100000,0.11,54 x 4 x 4,1
HO-31204,HOBBY,"Fotorückwandzuschnitt Frosty, selbstklebend  120 x 50 cm, SB",16.19,8.07,4 011444312044,49119100000,0.13,53 x 4 x 4,1
HO-31200,HOBBY,"Fotorückwandzuschnitt Frosty, selbstklebend  60 x 30 cm, SB",8.19,4.03,4 011444312006,49119100000,0.04,33 x 4 x 4,1
HO-21635,HOBBY,"Futterpipette  Länge 155 mm, 5 St. ",3.99,1.87,4 011444216359,39269097,0.01,27 x 10 x 1,1
HO-41730,HOBBY,"Ganesha  10 x 8 x 12,5 cm",10.69,5.31,4 011444417305,39264000000,0.13,9 x 10 x 12,1
HO-61340,HOBBY,"Genius, Fischfalle  21 x 13 x 15 cm",31.89,15.93,4 011444613400,39269097900,0.36,16 x 21 x 14,1
HO-40878,HOBBY,"Glimmer Rock L  2,0 - 3,5 kg",13.39,6.69,4 011444408785,25309000000,2.64,7 x 20 x 15,1
HO-40875,HOBBY,"Glimmer Rock M  1,0 - 2,0 kg",10.09,5.01,4 011444408754,25309000000,1.48,10 x 15 x 16,1
HO-40874,HOBBY,"Glimmer Rock S  0,4 - 1,0 kg",5.59,2.77,4 011444408747,25309000000,0.63,5 x 8 x 13,1
HO-51550,HOBBY,"Grassy Stone  8,5 x 3,5 x 3 cm, SB",4.79,2.36,4 011444515506,67021000000,0.04,3 x 11 x 15,1
HO-40400,HOBBY,"Grotten Keramik, Eimer  ca. 8 kg",44.59,22.26,4 011444404008,68062010,8.05,33 x 30 x 30,1
HO-40300,HOBBY,"Grotten Keramik, lose  15 kg",0,65.13,4 011444403001,68062010,15,33 x 36 x 54,1
HO-40520,HOBBY,"Grotten Lava   Eimer, 8 kg",32.29,16.13,4 011444405203,,0,,1
HO-40510,HOBBY,"Grotten Lava, lose  16 kg",82.99,41.43,4 011444405104,25174900,16,33 x 36 x 54,1
HO-40500,HOBBY,Grottenpuzzle Keramik  ca. 1 kg,10.49,5.21,4 011444405005,68062010,1.25,8 x 25 x 18,1
HO-40505,HOBBY,"Grottenpuzzle Lava  ca. 1,2 kg",8.49,4.17,4 011444405050,25174900,1.53,8 x 25 x 18,1
HO-40112,HOBBY,Guilin Rock 1  20 x 10 x12 cm,8.79,4.39,4 011444401120,39264000000,0.2,13 x 20 x 10,1
HO-40113,HOBBY,Guilin Rock 2  23 x 11 x 21 cm,21.39,10.7,4 011444401137,39264000000,0.49,11 x 23 x 21,1
HO-40114,HOBBY,Guilin Rock 3  27 x 16 x 28 cm,30.19,15.05,4 011444401144,39264000000,0.67,33 x 31 x 21,1
HO-51085,HOBBY,Guppy Fit  250 g,6.69,3.33,4 011444510853,38249996,0.25,12 x 6 x 6,1
HO-51566,HOBBY,"Heteranthera  25 cm, SB",7.19,3.58,4 011444515667,67021000000,0.07,30 x 11 x 4,1
HO-51567,HOBBY,"Heteranthera  34 cm, SB",8.59,4.12,4 011444515674,67021000000,0.1,41 x 12 x 4,1
